Bevolking," leeftijd, migratieachtergrond, geslacht en regio, 1 januari",,,,,,,
,,Onderwerpen,Totale bevolking,Totale bevolking,Totale bevolking,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond
Totaal,Arnhem,Nederlandse achtergrond,107393,53366,54027, , , 
Totaal,Arnhem,Westerse migratieachtergrond,17936,8602,9334,7549,3359,4190
Totaal,Arnhem,Niet-westerse migratieachtergrond,30370,15739,14631,16986,8764,8222
Totaal,Assen,Totaal,67551,33368,34183,4772,2457,2315
Totaal,Assen,Nederlandse achtergrond,57393,28157,29236, , , 
Totaal,Assen,Westerse migratieachtergrond,5375,2586,2789,2015,918,1097
Totaal,Assen,Niet-westerse migratieachtergrond,4783,2625,2158,2757,1539,1218
Totaal,Asten,Totaal,16714,8604,8110,1085,573,512
Totaal,Asten,Nederlandse achtergrond,14969,7704,7265, , , 
Totaal,Asten,Westerse migratieachtergrond,1181,618,563,734,409,325
Totaal,Asten,Niet-westerse migratieachtergrond,564,282,282,351,164,187
Totaal,Baarle-Nassau,Totaal,6657,3381,3276,717,296,421
Totaal,Baarle-Nassau,Nederlandse achtergrond,4953,2566,2387, , , 
Totaal,Baarle-Nassau,Westerse migratieachtergrond,1539,730,809,605,230,375
Totaal,Baarle-Nassau,Niet-westerse migratieachtergrond,165,85,80,112,66,46
Totaal,Baarn,Totaal,24529,11838,12691,1811,824,987
Totaal,Baarn,Nederlandse achtergrond,20313,9823,10490, , , 
Totaal,Baarn,Westerse migratieachtergrond,2270,1059,1211,771,316,455
Totaal,Baarn,Niet-westerse migratieachtergrond,1946,956,990,1040,508,532
Totaal,Barendrecht,Totaal,48344,23860,24484,4681,2101,2580
Totaal,Barendrecht,Nederlandse achtergrond,37200,18494,18706, , , 
Totaal,Barendrecht,Westerse migratieachtergrond,3751,1769,1982,1359,565,794
Totaal,Barendrecht,Niet-westerse migratieachtergrond,7393,3597,3796,3322,1536,1786
Totaal,Barneveld,Totaal,56376,28056,28320,2278,1088,1190
Totaal,Barneveld,Nederlandse achtergrond,51704,25721,25983, , , 
Totaal,Barneveld,Westerse migratieachtergrond,2255,1094,1161,903,387,516
Totaal,Barneveld,Niet-westerse migratieachtergrond,2417,1241,1176,1375,701,674
Totaal,Bedum,Totaal,10479,5241,5238,346,156,190
Totaal,Bedum,Nederlandse achtergrond,9709,4858,4851, , , 
Totaal,Bedum,Westerse migratieachtergrond,448,215,233,151,59,92
Totaal,Bedum,Niet-westerse migratieachtergrond,322,168,154,195,97,98
Totaal,Beek (L.),Totaal,15951,7802,8149,885,423,462
Totaal,Beek (L.),Nederlandse achtergrond,13700,6729,6971, , , 
Totaal,Beek (L.),Westerse migratieachtergrond,1567,745,822,470,220,250
Totaal,Beek (L.),Niet-westerse migratieachtergrond,684,328,356,415,203,212
Totaal,Beemster,Totaal,9205,4580,4625,331,155,176
Totaal,Beemster,Nederlandse achtergrond,8343,4167,4176, , , 
Totaal,Beemster,Westerse migratieachtergrond,533,249,284,159,73,86
Totaal,Beemster,Niet-westerse migratieachtergrond,329,164,165,172,82,90
Totaal,Beesel,Totaal,13405,6768,6637,853,419,434
Totaal,Beesel,Nederlandse achtergrond,11293,5728,5565, , , 
Totaal,Beesel,Westerse migratieachtergrond,1413,677,736,469,222,247
Totaal,Beesel,Niet-westerse migratieachtergrond,699,363,336,384,197,187
Totaal,Bellingwedde,Totaal,8919,4534,4385,464,242,222
Totaal,Bellingwedde,Nederlandse achtergrond,7946,4029,3917, , , 
Totaal,Bellingwedde,Westerse migratieachtergrond,706,334,372,262,105,157
Totaal,Bellingwedde,Niet-westerse migratieachtergrond,267,171,96,202,137,65
Totaal,Berg en Dal,Totaal,34764,17303,17461,1922,861,1061
Totaal,Berg en Dal,Nederlandse achtergrond,29871,14941,14930, , , 
Totaal,Berg en Dal,Westerse migratieachtergrond,3644,1709,1935,1135,463,672
Totaal,Berg en Dal,Niet-westerse migratieachtergrond,1249,653,596,787,398,389
Totaal,Bergeijk,Totaal,18342,9339,9003,804,363,441
Totaal,Bergeijk,Nederlandse achtergrond,16552,8459,8093, , , 
Totaal,Bergeijk,Westerse migratieachtergrond,1385,698,687,528,247,281
Totaal,Bergeijk,Niet-westerse migratieachtergrond,405,182,223,276,116,160
Totaal,Bergen (L.),Totaal,13095,6532,6563,768,340,428
Totaal,Bergen (L.),Nederlandse achtergrond,11087,5541,5546, , , 
Totaal,Bergen (L.),Westerse migratieachtergrond,1683,838,845,560,251,309
Totaal,Bergen (L.),Niet-westerse migratieachtergrond,325,153,172,208,89,119
Totaal,Bergen (NH.),Totaal,29844,14385,15459,1795,767,1028
Totaal,Bergen (NH.),Nederlandse achtergrond,26052,12604,13448, , , 
Totaal,Bergen (NH.),Westerse migratieachtergrond,2771,1281,1490,1167,478,689
Totaal,Bergen (NH.),Niet-westerse migratieachtergrond,1021,500,521,628,289,339
Totaal,Bergen op Zoom,Totaal,66164,32745,33419,7701,3714,3987
Totaal,Bergen op Zoom,Nederlandse achtergrond,50125,24765,25360, , , 
Totaal,Bergen op Zoom,Westerse migratieachtergrond,6465,3093,3372,2928,1319,1609
Totaal,Bergen op Zoom,Niet-westerse migratieachtergrond,9574,4887,4687,4773,2395,2378
Totaal,Berkelland,Totaal,44238,22224,22014,1455,687,768
Totaal,Berkelland,Nederlandse achtergrond,40814,20531,20283, , , 
Totaal,Berkelland,Westerse migratieachtergrond,2222,1060,1162,697,299,398
Totaal,Berkelland,Niet-westerse migratieachtergrond,1202,633,569,758,388,370
Totaal,Bernheze,Totaal,30252,15258,14994,1312,659,653
Totaal,Bernheze,Nederlandse achtergrond,27777,14029,13748, , , 
Totaal,Bernheze,Westerse migratieachtergrond,1703,848,855,833,423,410
Totaal,Bernheze,Niet-westerse migratieachtergrond,772,381,391,479,236,243
Totaal,Best,Totaal,29180,14613,14567,2138,988,1150
Totaal,Best,Nederlandse achtergrond,24707,12442,12265, , , 
Totaal,Best,Westerse migratieachtergrond,2568,1244,1324,1111,513,598
Totaal,Best,Niet-westerse migratieachtergrond,1905,927,978,1027,475,552
Totaal,Beuningen,Totaal,25424,12697,12727,1251,587,664
Totaal,Beuningen,Nederlandse achtergrond,22349,11180,11169, , , 
Totaal,Beuningen,Westerse migratieachtergrond,1896,936,960,590,264,326
Totaal,Beuningen,Niet-westerse migratieachtergrond,1179,581,598,661,323,338
Totaal,Beverwijk,Totaal,40709,20322,20387,5636,2842,2794
Totaal,Beverwijk,Nederlandse achtergrond,30070,14917,15153, , , 
Totaal,Beverwijk,Westerse migratieachtergrond,4856,2426,2430,2440,1195,1245
Totaal,Beverwijk,Niet-westerse migratieachtergrond,5783,2979,2804,3196,1647,1549
Totaal,het Bildt,Totaal,10493,5335,5158,630,320,310
Totaal,het Bildt,Nederlandse achtergrond,9475,4822,4653, , , 
Totaal,het Bildt,Westerse migratieachtergrond,549,257,292,276,121,155
Totaal,het Bildt,Niet-westerse migratieachtergrond,469,256,213,354,199,155
Totaal,De Bilt,Totaal,42754,20434,22320,3083,1330,1753
Totaal,De Bilt,Nederlandse achtergrond,35433,17025,18408, , , 
Totaal,De Bilt,Westerse migratieachtergrond,4089,1848,2241,1428,557,871
Totaal,De Bilt,Niet-westerse migratieachtergrond,3232,1561,1671,1655,773,882
Totaal,Binnenmaas,Totaal,29122,14439,14683,1273,598,675
Totaal,Binnenmaas,Nederlandse achtergrond,26443,13125,13318, , , 
Totaal,Binnenmaas,Westerse migratieachtergrond,1463,694,769,492,199,293
Totaal,Binnenmaas,Niet-westerse migratieachtergrond,1216,620,596,781,399,382
Totaal,Bladel,Totaal,20063,10177,9886,972,472,500
Totaal,Bladel,Nederlandse achtergrond,18116,9217,8899, , , 
Totaal,Bladel,Westerse migratieachtergrond,1366,683,683,580,296,284
Totaal,Bladel,Niet-westerse migratieachtergrond,581,277,304,392,176,216
Totaal,Blaricum,Totaal,10201,4963,5238,814,347,467
Totaal,Blaricum,Nederlandse achtergrond,8293,4051,4242, , , 
Totaal,Blaricum,Westerse migratieachtergrond,1145,557,588,433,189,244
Totaal,Blaricum,Niet-westerse migratieachtergrond,763,355,408,381,158,223
Totaal,Bloemendaal,Totaal,22826,10985,11841,1654,697,957
Totaal,Bloemendaal,Nederlandse achtergrond,18651,9051,9600, , , 
Totaal,Bloemendaal,Westerse migratieachtergrond,3050,1414,1636,1030,433,597
Totaal,Bloemendaal,Niet-westerse migratieachtergrond,1125,520,605,624,264,360
Totaal,Bodegraven-Reeuwijk,Totaal,33733,16901,16832,1968,918,1050
Totaal,Bodegraven-Reeuwijk,Nederlandse achtergrond,29578,14858,14720, , , 
Totaal,Bodegraven-Reeuwijk,Westerse migratieachtergrond,2040,951,1089,892,378,514
Totaal,Bodegraven-Reeuwijk,Niet-westerse migratieachtergrond,2115,1092,1023,1076,540,536
Totaal,Boekel,Totaal,10414,5326,5088,486,260,226
Totaal,Boekel,Nederlandse achtergrond,9602,4887,4715, , , 
Totaal,Boekel,Westerse migratieachtergrond,588,319,269,328,177,151
Totaal,Boekel,Niet-westerse migratieachtergrond,224,120,104,158,83,75
Totaal,Ten Boer,Totaal,7288,3607,3681,199,86,113
Totaal,Ten Boer,Nederlandse achtergrond,6781,3360,3421, , , 
Totaal,Ten Boer,Westerse migratieachtergrond,304,149,155,94,40,54
Totaal,Ten Boer,Niet-westerse migratieachtergrond,203,98,105,105,46,59
Totaal,Borger-Odoorn,Totaal,25355,12646,12709,597,267,330
Totaal,Borger-Odoorn,Nederlandse achtergrond,23907,11958,11949, , , 
Totaal,Borger-Odoorn,Westerse migratieachtergrond,1004,453,551,322,119,203
Totaal,Borger-Odoorn,Niet-westerse migratieachtergrond,444,235,209,275,148,127
Totaal,Borne,Totaal,22795,11411,11384,1122,549,573
Totaal,Borne,Nederlandse achtergrond,20227,10131,10096, , , 
Totaal,Borne,Westerse migratieachtergrond,1485,711,774,424,165,259
Totaal,Borne,Niet-westerse migratieachtergrond,1083,569,514,698,384,314
Totaal,Borsele,Totaal,22688,11471,11217,969,428,541
Totaal,Borsele,Nederlandse achtergrond,20733,10551,10182, , , 
Totaal,Borsele,Westerse migratieachtergrond,1372,645,727,627,279,348
Totaal,Borsele,Niet-westerse migratieachtergrond,583,275,308,342,149,193
Totaal,Boxmeer,Totaal,28709,14469,14240,1860,946,914
Totaal,Boxmeer,Nederlandse achtergrond,25181,12655,12526, , , 
Totaal,Boxmeer,Westerse migratieachtergrond,2035,979,1056,824,358,466
Totaal,Boxmeer,Niet-westerse migratieachtergrond,1493,835,658,1036,588,448
Totaal,Boxtel,Totaal,30655,15231,15424,2430,1188,1242
Totaal,Boxtel,Nederlandse achtergrond,25932,12863,13069, , , 
Totaal,Boxtel,Westerse migratieachtergrond,2257,1138,1119,1109,546,563
Totaal,Boxtel,Niet-westerse migratieachtergrond,2466,1230,1236,1321,642,679
Totaal,Breda,Totaal,182304,89594,92710,20519,9854,10665
Totaal,Breda,Nederlandse achtergrond,140216,68877,71339, , , 
Totaal,Breda,Westerse migratieachtergrond,20354,9792,10562,9025,4114,4911
Totaal,Breda,Niet-westerse migratieachtergrond,21734,10925,10809,11494,5740,5754
Totaal,Brielle,Totaal,16833,8260,8573,1020,463,557
Totaal,Brielle,Nederlandse achtergrond,14591,7192,7399, , , 
Totaal,Brielle,Westerse migratieachtergrond,1448,710,738,608,284,324
Totaal,Brielle,Niet-westerse migratieachtergrond,794,358,436,412,179,233
Totaal,Bronckhorst,Totaal,36410,18150,18260,890,394,496
Totaal,Bronckhorst,Nederlandse achtergrond,34276,17167,17109, , , 
Totaal,Bronckhorst,Westerse migratieachtergrond,1453,648,805,470,186,284
Totaal,Bronckhorst,Niet-westerse migratieachtergrond,681,335,346,420,208,212
Totaal,Brummen,Totaal,20843,10282,10561,1018,476,542
Totaal,Brummen,Nederlandse achtergrond,18415,9054,9361, , , 
Totaal,Brummen,Westerse migratieachtergrond,1257,637,620,401,176,225
Totaal,Brummen,Niet-westerse migratieachtergrond,1171,591,580,617,300,317
Totaal,Brunssum,Totaal,28358,13873,14485,2209,1037,1172
Totaal,Brunssum,Nederlandse achtergrond,21514,10569,10945, , , 
Totaal,Brunssum,Westerse migratieachtergrond,5383,2564,2819,1402,643,759
Totaal,Brunssum,Niet-westerse migratieachtergrond,1461,740,721,807,394,413
Totaal,Bunnik,Totaal,15156,7505,7651,786,375,411
Totaal,Bunnik,Nederlandse achtergrond,13259,6569,6690, , , 
Totaal,Bunnik,Westerse migratieachtergrond,1156,562,594,394,179,215
Totaal,Bunnik,Niet-westerse migratieachtergrond,741,374,367,392,196,196
Totaal,Bunschoten,Totaal,21020,10493,10527,1240,613,627
Totaal,Bunschoten,Nederlandse achtergrond,18875,9412,9463, , , 
Totaal,Bunschoten,Westerse migratieachtergrond,1146,588,558,701,346,355
Totaal,Bunschoten,Niet-westerse migratieachtergrond,999,493,506,539,267,272
Totaal,Buren,Totaal,26348,13212,13136,972,453,519
Totaal,Buren,Nederlandse achtergrond,24272,12225,12047, , , 
Totaal,Buren,Westerse migratieachtergrond,1457,685,772,600,271,329
Totaal,Buren,Niet-westerse migratieachtergrond,619,302,317,372,182,190
Totaal,Capelle aan den IJssel,Totaal,66421,32080,34341,11373,5022,6351
Totaal,Capelle aan den IJssel,Nederlandse achtergrond,43858,21481,22377, , , 
Totaal,Capelle aan den IJssel,Westerse migratieachtergrond,7390,3434,3956,3303,1414,1889
Totaal,Capelle aan den IJssel,Niet-westerse migratieachtergrond,15173,7165,8008,8070,3608,4462
Totaal,Castricum,Totaal,35216,17254,17962,1643,731,912
Totaal,Castricum,Nederlandse achtergrond,31319,15434,15885, , , 
Totaal,Castricum,Westerse migratieachtergrond,2460,1108,1352,851,352,499
Totaal,Castricum,Niet-westerse migratieachtergrond,1437,712,725,792,379,413
Totaal,Coevorden,Totaal,35286,17594,17692,1432,677,755
Totaal,Coevorden,Nederlandse achtergrond,32251,16127,16124, , , 
Totaal,Coevorden,Westerse migratieachtergrond,1825,830,995,649,252,397
Totaal,Coevorden,Niet-westerse migratieachtergrond,1210,637,573,783,425,358
Totaal,Cranendonck,Totaal,20676,10404,10272,1587,768,819
Totaal,Cranendonck,Nederlandse achtergrond,17387,8727,8660, , , 
Totaal,Cranendonck,Westerse migratieachtergrond,2392,1226,1166,936,442,494
Totaal,Cranendonck,Niet-westerse migratieachtergrond,897,451,446,651,326,325
Totaal,Cromstrijen,Totaal,12797,6345,6452,391,156,235
Totaal,Cromstrijen,Nederlandse achtergrond,11870,5917,5953, , , 
Totaal,Cromstrijen,Westerse migratieachtergrond,567,258,309,190,69,121
Totaal,Cromstrijen,Niet-westerse migratieachtergrond,360,170,190,201,87,114
Totaal,Cuijk,Totaal,24696,12310,12386,2175,1057,1118
Totaal,Cuijk,Nederlandse achtergrond,19953,9973,9980, , , 
Totaal,Cuijk,Westerse migratieachtergrond,2376,1147,1229,931,420,511
Totaal,Cuijk,Niet-westerse migratieachtergrond,2367,1190,1177,1244,637,607
Totaal,Culemborg,Totaal,27864,13861,14003,2789,1328,1461
Totaal,Culemborg,Nederlandse achtergrond,21593,10717,10876, , , 
Totaal,Culemborg,Westerse migratieachtergrond,2471,1199,1272,925,396,529
Totaal,Culemborg,Niet-westerse migratieachtergrond,3800,1945,1855,1864,932,932
Totaal,Dalfsen,Totaal,28070,14220,13850,734,347,387
Totaal,Dalfsen,Nederlandse achtergrond,26638,13519,13119, , , 
Totaal,Dalfsen,Westerse migratieachtergrond,891,418,473,378,163,215
Totaal,Dalfsen,Niet-westerse migratieachtergrond,541,283,258,356,184,172
Totaal,Dantumadiel,Totaal,18942,9536,9406,355,166,189
Totaal,Dantumadiel,Nederlandse achtergrond,18200,9177,9023, , , 
Totaal,Dantumadiel,Westerse migratieachtergrond,382,184,198,115,52,63
Totaal,Dantumadiel,Niet-westerse migratieachtergrond,360,175,185,240,114,126
Totaal,Delft,Totaal,101381,53995,47386,21558,11615,9943
Totaal,Delft,Nederlandse achtergrond,67144,35674,31470, , , 
Totaal,Delft,Westerse migratieachtergrond,14330,7743,6587,8593,4628,3965
Totaal,Delft,Niet-westerse migratieachtergrond,19907,10578,9329,12965,6987,5978
Totaal,Delfzijl,Totaal,24965,12560,12405,2412,1236,1176
Totaal,Delfzijl,Nederlandse achtergrond,20531,10290,10241, , , 
Totaal,Delfzijl,Westerse migratieachtergrond,1952,937,1015,831,364,467
Totaal,Delfzijl,Niet-westerse migratieachtergrond,2482,1333,1149,1581,872,709
Totaal,Deurne,Totaal,31933,16071,15862,1422,676,746
Totaal,Deurne,Nederlandse achtergrond,29083,14653,14430, , , 
Totaal,Deurne,Westerse migratieachtergrond,1768,862,906,787,354,433
Totaal,Deurne,Niet-westerse migratieachtergrond,1082,556,526,635,322,313
Totaal,Deventer,Totaal,99295,49064,50231,10449,5227,5222
Totaal,Deventer,Nederlandse achtergrond,77966,38203,39763, , , 
Totaal,Deventer,Westerse migratieachtergrond,8840,4357,4483,3671,1698,1973
Totaal,Deventer,Niet-westerse migratieachtergrond,12489,6504,5985,6778,3529,3249
Totaal,Diemen,Totaal,27272,13251,14021,6256,2879,3377
Totaal,Diemen,Nederlandse achtergrond,15634,7688,7946, , , 
Totaal,Diemen,Westerse migratieachtergrond,3962,1887,2075,2170,983,1187
Totaal,Diemen,Niet-westerse migratieachtergrond,7676,3676,4000,4086,1896,2190
Totaal,Dinkelland,Totaal,26244,13412,12832,864,381,483
Totaal,Dinkelland,Nederlandse achtergrond,24136,12371,11765, , , 
Totaal,Dinkelland,Westerse migratieachtergrond,1543,737,806,461,167,294
Totaal,Dinkelland,Niet-westerse migratieachtergrond,565,304,261,403,214,189
Totaal,Doesburg,Totaal,11341,5544,5797,1010,470,540
Totaal,Doesburg,Nederlandse achtergrond,9087,4425,4662, , , 
Totaal,Doesburg,Westerse migratieachtergrond,1077,512,565,366,156,210
Totaal,Doesburg,Niet-westerse migratieachtergrond,1177,607,570,644,314,330
Totaal,Doetinchem,Totaal,57068,28259,28809,3537,1697,1840
Totaal,Doetinchem,Nederlandse achtergrond,49131,24384,24747, , , 
Totaal,Doetinchem,Westerse migratieachtergrond,4165,1941,2224,1421,604,817
Totaal,Doetinchem,Niet-westerse migratieachtergrond,3772,1934,1838,2116,1093,1023
Totaal,Dongen,Totaal,25509,12729,12780,1569,735,834
Totaal,Dongen,Nederlandse achtergrond,22234,11127,11107, , , 
Totaal,Dongen,Westerse migratieachtergrond,1704,812,892,737,333,404
Totaal,Dongen,Niet-westerse migratieachtergrond,1571,790,781,832,402,430
Totaal,Dongeradeel,Totaal,23901,11947,11954,679,320,359
Totaal,Dongeradeel,Nederlandse achtergrond,22522,11276,11246, , , 
Totaal,Dongeradeel,Westerse migratieachtergrond,784,377,407,314,139,175
Totaal,Dongeradeel,Niet-westerse migratieachtergrond,595,294,301,365,181,184
Totaal,Dordrecht,Totaal,118731,58684,60047,18050,8791,9259
Totaal,Dordrecht,Nederlandse achtergrond,83612,41179,42433, , , 
Totaal,Dordrecht,Westerse migratieachtergrond,13361,6506,6855,6451,3027,3424
Totaal,Dordrecht,Niet-westerse migratieachtergrond,21758,10999,10759,11599,5764,5835
Totaal,Drechterland,Totaal,19384,9835,9549,1006,462,544
Totaal,Drechterland,Nederlandse achtergrond,17463,8899,8564, , , 
Totaal,Drechterland,Westerse migratieachtergrond,1309,648,661,666,308,358
Totaal,Drechterland,Niet-westerse migratieachtergrond,612,288,324,340,154,186
Totaal,Drimmelen,Totaal,26869,13472,13397,1138,540,598
Totaal,Drimmelen,Nederlandse achtergrond,24590,12338,12252, , , 
Totaal,Drimmelen,Westerse migratieachtergrond,1607,808,799,721,338,383
Totaal,Drimmelen,Niet-westerse migratieachtergrond,672,326,346,417,202,215
Totaal,Dronten,Totaal,40746,20502,20244,3487,1716,1771
Totaal,Dronten,Nederlandse achtergrond,34287,17277,17010, , , 
Totaal,Dronten,Westerse migratieachtergrond,3054,1406,1648,1449,612,837
Totaal,Dronten,Niet-westerse migratieachtergrond,3405,1819,1586,2038,1104,934
Totaal,Druten,Totaal,18563,9245,9318,929,445,484
Totaal,Druten,Nederlandse achtergrond,16405,8143,8262, , , 
Totaal,Druten,Westerse migratieachtergrond,1064,540,524,345,158,187
Totaal,Druten,Niet-westerse migratieachtergrond,1094,562,532,584,287,297
Totaal,Duiven,Totaal,25398,12528,12870,1463,651,812
Totaal,Duiven,Nederlandse achtergrond,21915,10866,11049, , , 
Totaal,Duiven,Westerse migratieachtergrond,2088,978,1110,652,271,381
Totaal,Duiven,Niet-westerse migratieachtergrond,1395,684,711,811,380,431
Totaal,Echt-Susteren,Totaal,31815,15997,15818,2175,1057,1118
Totaal,Echt-Susteren,Nederlandse achtergrond,26383,13281,13102, , , 
Totaal,Echt-Susteren,Westerse migratieachtergrond,4289,2109,2180,1381,641,740
Totaal,Echt-Susteren,Niet-westerse migratieachtergrond,1143,607,536,794,416,378
Totaal,Edam-Volendam,Totaal,35800,17911,17889,1494,699,795
Totaal,Edam-Volendam,Nederlandse achtergrond,32638,16378,16260, , , 
Totaal,Edam-Volendam,Westerse migratieachtergrond,1591,755,836,614,288,326
Totaal,Edam-Volendam,Niet-westerse migratieachtergrond,1571,778,793,880,411,469
Totaal,Ede,Totaal,113421,55914,57507,8185,3920,4265
Totaal,Ede,Nederlandse achtergrond,96073,47386,48687, , , 
Totaal,Ede,Westerse migratieachtergrond,7962,3765,4197,3101,1371,1730
Totaal,Ede,Niet-westerse migratieachtergrond,9386,4763,4623,5084,2549,2535
Totaal,Eemnes,Totaal,8999,4434,4565,463,203,260
Totaal,Eemnes,Nederlandse achtergrond,7838,3876,3962, , , 
